match_id,home_score,away_score,status
1,0,2,Complete
2,0,2,Complete
3,1,3,Complete
4,1,1,Complete
5,1,2,Complete
6,2,0,Complete
7,6,2,Complete
8,1,1,Complete
9,0,2,Complete
10,0,0,Complete
11,0,3,Complete
12,0,1,Complete
13,1,2,Complete
14,0,0,Complete
15,2,0,Complete
16,2,0,Complete
17,0,2,Complete
18,1,2,Complete
19,0,0,Complete
20,4,1,Complete
21,0,1,Complete
22,2,1,Complete
23,0,0,Complete
24,1,0,Complete
25,1,2,Complete
26,7,0,Complete
27,0,1,Complete
28,1,1,Complete
29,0,2,Complete
30,2,4,Complete
31,0,0,Complete
32,1,0,Complete
33,0,2,Complete
34,4,1,Complete
35,1,2,Complete
36,0,0,Complete
37,1,0,Complete
38,2,0,Complete
39,3,3,Complete
40,1,0,Complete
41,1,0,Complete
42,2,3,Complete
43,0,0,Complete
44,3,2,Complete
45,2,3,Complete
46,2,0,Complete
47,0,2,Complete
48,2,1,Complete
49,3,1,Complete
50,2,1,Complete
51,1,1,Complete
52,4,1,Complete
53,3,0,Complete
54,3,1,Complete
55,0,0,Complete
56,6,1,Complete
57,2,2,Complete
58,1,1,Complete
59,1,1,Complete
60,1,0,Complete
61,3,0,Complete
62,2,0,Complete
64,3,3,Complete
