match_id,stage,group,home_team,away_team,kickoff
66456904,Group,A,MEX,RSA,2026-06-11T15:00:00-04:00
66456906,Group,A,KOR,CZE,2026-06-11T22:00:00-04:00
66456910,Group,A,CZE,RSA,2026-06-18T12:00:00-04:00
66456908,Group,A,MEX,KOR,2026-06-18T21:00:00-04:00
66456912,Group,A,CZE,MEX,2026-06-24T21:00:00-04:00
66456914,Group,A,RSA,KOR,2026-06-24T21:00:00-04:00
66456916,Group,B,CAN,BIH,2026-06-12T15:00:00-04:00
66456918,Group,B,QAT,SUI,2026-06-13T15:00:00-04:00
66456922,Group,B,SUI,BIH,2026-06-18T15:00:00-04:00
66456920,Group,B,CAN,QAT,2026-06-18T18:00:00-04:00
66456924,Group,B,SUI,CAN,2026-06-24T15:00:00-04:00
66456926,Group,B,BIH,QAT,2026-06-24T15:00:00-04:00
66456928,Group,C,BRA,MAR,2026-06-13T18:00:00-04:00
66456930,Group,C,HTI,SCO,2026-06-13T21:00:00-04:00
66456934,Group,C,SCO,MAR,2026-06-19T18:00:00-04:00
66456932,Group,C,BRA,HTI,2026-06-19T20:30:00-04:00
66456936,Group,C,SCO,BRA,2026-06-24T18:00:00-04:00
66456938,Group,C,MAR,HTI,2026-06-24T18:00:00-04:00
66456940,Group,D,USA,PAR,2026-06-12T21:00:00-04:00
66456942,Group,D,AUS,TUR,2026-06-14T00:00:00-04:00
66456944,Group,D,USA,AUS,2026-06-19T15:00:00-04:00
66456946,Group,D,TUR,PAR,2026-06-19T23:00:00-04:00
66456948,Group,D,TUR,USA,2026-06-25T22:00:00-04:00
66456950,Group,D,PAR,AUS,2026-06-25T22:00:00-04:00
66457070,Group,E,GER,CUW,2026-06-14T13:00:00-04:00
66457072,Group,E,CIV,ECU,2026-06-14T19:00:00-04:00
66457074,Group,E,GER,CIV,2026-06-20T16:00:00-04:00
66457076,Group,E,ECU,CUW,2026-06-20T20:00:00-04:00
66457078,Group,E,ECU,GER,2026-06-25T16:00:00-04:00
66457080,Group,E,CUW,CIV,2026-06-25T16:00:00-04:00
66456968,Group,F,NED,JPN,2026-06-14T16:00:00-04:00
66456970,Group,F,SWE,TUN,2026-06-14T22:00:00-04:00
66456972,Group,F,NED,SWE,2026-06-20T13:00:00-04:00
66456974,Group,F,TUN,JPN,2026-06-21T00:00:00-04:00
66456976,Group,F,TUN,NED,2026-06-25T19:00:00-04:00
66456978,Group,F,JPN,SWE,2026-06-25T19:00:00-04:00
66456982,Group,G,BEL,EGY,2026-06-15T15:00:00-04:00
66456984,Group,G,IRI,NZL,2026-06-15T21:00:00-04:00
66456986,Group,G,BEL,IRI,2026-06-21T15:00:00-04:00
66456988,Group,G,NZL,EGY,2026-06-21T21:00:00-04:00
66456990,Group,G,NZL,BEL,2026-06-26T23:00:00-04:00
66456992,Group,G,EGY,IRI,2026-06-26T23:00:00-04:00
66456994,Group,H,ESP,CPV,2026-06-15T12:00:00-04:00
66456996,Group,H,KSA,URU,2026-06-15T18:00:00-04:00
66456998,Group,H,ESP,KSA,2026-06-21T12:00:00-04:00
66457000,Group,H,URU,CPV,2026-06-21T18:00:00-04:00
66457002,Group,H,URU,ESP,2026-06-26T20:00:00-04:00
66457004,Group,H,CPV,KSA,2026-06-26T20:00:00-04:00
66457006,Group,I,FRA,SEN,2026-06-16T15:00:00-04:00
66457008,Group,I,IRQ,NOR,2026-06-16T18:00:00-04:00
66457010,Group,I,FRA,IRQ,2026-06-22T17:00:00-04:00
66457012,Group,I,NOR,SEN,2026-06-22T20:00:00-04:00
66457014,Group,I,NOR,FRA,2026-06-26T15:00:00-04:00
66457016,Group,I,SEN,IRQ,2026-06-26T15:00:00-04:00
66457018,Group,J,ARG,DZA,2026-06-16T21:00:00-04:00
66457020,Group,J,AUT,JOR,2026-06-17T00:00:00-04:00
66457022,Group,J,ARG,AUT,2026-06-22T13:00:00-04:00
66457024,Group,J,JOR,DZA,2026-06-22T23:00:00-04:00
66457026,Group,J,JOR,ARG,2026-06-27T22:00:00-04:00
66457028,Group,J,DZA,AUT,2026-06-27T22:00:00-04:00
66457030,Group,K,POR,COD,2026-06-17T13:00:00-04:00
66457032,Group,K,UZB,COL,2026-06-17T22:00:00-04:00
66457034,Group,K,POR,UZB,2026-06-23T13:00:00-04:00
66457036,Group,K,COL,COD,2026-06-23T22:00:00-04:00
66457038,Group,K,COL,POR,2026-06-27T19:30:00-04:00
66457040,Group,K,COD,UZB,2026-06-27T19:30:00-04:00
66457042,Group,L,ENG,CRO,2026-06-17T16:00:00-04:00
66457044,Group,L,GHA,PAN,2026-06-17T19:00:00-04:00
66457046,Group,L,ENG,GHA,2026-06-23T16:00:00-04:00
66457048,Group,L,PAN,CRO,2026-06-23T19:00:00-04:00
66457050,Group,L,PAN,ENG,2026-06-27T17:00:00-04:00
66457052,Group,L,CRO,GHA,2026-06-27T17:00:00-04:00
