match_id,home_code,away_code,home_score,away_score,winner_code,loser_code,winner_team_id,loser_team_id,espn_event_id,date
73,RSA,CAN,0,1,CAN,RSA,CAN,RSA,760486,2026-06-28
74,GER,PAR,1,1,PAR,GER,PAR,GER,760489,2026-06-29
75,NED,MAR,1,1,MAR,NED,MAR,NED,760488,2026-06-29
76,BRA,JPN,2,1,BRA,JPN,BRA,JPN,760487,2026-06-29
77,FRA,SWE,3,0,FRA,SWE,FRA,SWE,760492,2026-06-30
78,CIV,NOR,1,2,NOR,CIV,NOR,CIV,760490,2026-06-30
79,MEX,ECU,2,0,MEX,ECU,MEX,ECU,760491,2026-06-30
80,ENG,COD,2,1,ENG,COD,ENG,COD,760495,2026-07-01
81,USA,BIH,2,0,USA,BIH,USA,BIH,760494,2026-07-01
82,BEL,SEN,3,2,BEL,SEN,BEL,SEN,760493,2026-07-01
83,POR,CRO,2,1,POR,CRO,POR,CRO,760496,2026-07-02
84,ESP,AUT,3,0,ESP,AUT,ESP,AUT,760497,2026-07-02
85,SUI,DZA,2,0,SUI,DZA,SUI,DZA,760498,2026-07-02
86,ARG,CPV,3,2,ARG,CPV,ARG,CPV,760500,2026-07-03
87,COL,GHA,1,0,COL,GHA,COL,GHA,760501,2026-07-03
88,AUS,EGY,1,1,EGY,AUS,EGY,AUS,760499,2026-07-03
89,PAR,FRA,0,1,FRA,PAR,FRA,PAR,760503,2026-07-04
90,CAN,MAR,0,3,MAR,CAN,MAR,CAN,760502,2026-07-04
91,BRA,NOR,1,2,NOR,BRA,NOR,BRA,760504,2026-07-05
92,MEX,ENG,2,3,ENG,MEX,ENG,MEX,760505,2026-07-05
93,POR,ESP,0,1,ESP,POR,ESP,POR,760506,2026-07-06
94,USA,BEL,1,4,BEL,USA,BEL,USA,760507,2026-07-06
95,ARG,EGY,3,2,ARG,EGY,ARG,EGY,760509,2026-07-07
