match_id,home_score,away_score,status
66456904,2,0,Complete
66456906,2,1,Complete
66456908,1,0,Complete
66456910,1,1,Complete
66456912,0,3,Complete
66456914,1,0,Complete
66456916,1,1,Complete
66456918,1,1,Complete
66456920,6,0,Complete
66456922,4,1,Complete
66456924,2,1,Complete
66456926,3,1,Complete
66456928,1,1,Complete
66456930,0,1,Complete
66456932,3,0,Complete
66456934,0,1,Complete
66456936,0,3,Complete
66456938,4,2,Complete
66456940,4,1,Complete
66456942,2,0,Complete
66456944,2,0,Complete
66456946,0,1,Complete
66456948,3,2,Complete
66456950,0,0,Complete
66456968,2,2,Complete
66456970,5,1,Complete
66456972,5,1,Complete
66456974,0,4,Complete
66456976,1,3,Complete
66456978,1,1,Complete
66456982,1,1,Complete
66456984,2,2,Complete
66456986,2,1,Complete
66456988,1,3,Complete
66456990,1,5,Complete
66456992,1,1,Complete
66456994,0,0,Complete
66456996,1,1,Complete
66456998,4,0,Complete
66457000,2,2,Complete
66457002,0,1,Complete
66457004,0,0,Complete
66457006,3,1,Complete
66457008,1,4,Complete
66457010,3,0,Complete
66457012,3,2,Complete
66457014,1,4,Complete
66457016,5,0,Complete
66457018,3,0,Complete
66457020,3,1,Complete
66457022,2,0,Complete
66457024,1,2,Complete
66457026,1,3,Complete
66457028,3,3,Complete
66457030,1,1,Complete
66457032,1,3,Complete
66457034,5,0,Complete
66457036,1,0,Complete
66457038,0,0,Complete
66457040,3,1,Complete
66457042,4,2,Complete
66457044,1,0,Complete
66457046,0,0,Complete
66457048,0,1,Complete
66457050,0,2,Complete
66457052,2,1,Complete
66457070,7,1,Complete
66457072,1,0,Complete
66457074,2,1,Complete
66457076,0,0,Complete
66457078,2,1,Complete
66457080,0,2,Complete
